NPD Pass Fail Criteria,
2.844,-151.5793127
2.845,-151.6334035
2.846,-151.6760731
2.847,-151.7273389
2.848,-151.7604284
2.849,-151.7861512
2.85,-151.820319
2.851,-151.844126
2.852,-151.849803
2.853,-151.8479343
2.854,-151.8302443
2.855,-151.827511
2.856,-151.8555509
2.857,-151.8994516
2.858,-151.9154132
2.859,-151.9641316
2.86,-151.9981295
2.861,-152.009192
2.862,-152.0131192
2.863,-152.0137189
2.864,-152.0337093
2.865,-152.0235203
2.866,-152.0174992
2.867,-152.0009871
2.868,-151.9846952
2.869,-151.9554044
2.87,-151.9469908
2.871,-151.9416894
2.872,-151.9459487
2.873,-151.9314033
2.874,-151.9230924
2.875,-151.9186768
2.876,-151.8844573
2.877,-151.8813478
2.878,-151.8555338
2.879,-151.8646215
2.88,-151.8517523
2.881,-151.8466039
2.882,-151.8110171
2.883,-151.7815865
2.884,-151.7647271
2.885,-151.7112608
2.886,-151.681126
2.887,-151.6600474
2.888,-151.6354604
2.889,-151.6079983
2.89,-151.5807305
2.891,-151.5685753
2.892,-151.5611478
2.893,-151.5424173
2.894,-151.5401063
2.895,-151.519281
2.896,-151.4806543
2.897,-151.4442366
2.898,-151.4244994
2.899,-151.3950735
2.9,-151.3648455
2.901,-151.3191236
2.902,-151.3072685
2.903,-151.2979841
2.904,-151.2718514
2.905,-151.2638185
2.906,-151.2501235
2.907,-151.2231263
2.908,-151.2154285
2.909,-151.1962878
2.91,-151.173663
2.911,-151.1493371
2.912,-151.1206569
2.913,-151.1069434
2.914,-151.083361
2.915,-151.0881935
2.916,-151.079902
2.917,-151.0618537
2.918,-151.0417641
2.919,-150.9992223
2.92,-151.005496
2.921,-150.961804
2.922,-150.9510437
2.923,-150.9359974
2.924,-150.9057251
2.925,-150.894628
2.926,-150.8692395
2.927,-150.8404848
2.928,-150.829432
2.929,-150.7966005
2.93,-150.7877693
2.931,-150.7703435
2.932,-150.7401115
2.933,-150.7291335
2.934,-150.706247
2.935,-150.702662
2.936,-150.6996645
2.937,-150.6998842
2.938,-150.6938681
2.939,-150.6906141
2.94,-150.684233
2.941,-150.6915978
2.942,-150.6784879
2.943,-150.6629137
2.944,-150.6656997
2.945,-150.661255
2.946,-150.6427881
2.947,-150.6465286
2.948,-150.6215327
2.949,-150.612012
2.95,-150.605076
2.951,-150.6272662
2.952,-150.6306139
2.953,-150.6277431
2.954,-150.6118298
2.955,-150.6133415
2.956,-150.6030297
2.957,-150.5860306
2.958,-150.5979522
2.959,-150.5920471
2.96,-150.5788388
2.961,-150.5920635
2.962,-150.5806254
2.963,-150.5739336
2.964,-150.5860686
2.965,-150.5705028
2.966,-150.6011903
2.967,-150.6268115
2.968,-150.6504463
2.969,-150.690678
2.97,-150.7112945
2.971,-150.7072163
2.972,-150.728307
2.973,-150.736101
2.974,-150.7445208
2.975,-150.7303458
2.976,-150.7616522
2.977,-150.7632611
2.978,-150.7761697
2.979,-150.7745184
2.98,-150.7905013
2.981,-150.8068044
2.982,-150.8167041
2.983,-150.8309115
2.984,-150.8171556
2.985,-150.81188
2.986,-150.8194785
2.987,-150.8085847
2.988,-150.8141271
2.989,-150.8679371
2.99,-150.8650963
2.991,-150.8575037
2.992,-150.8655258
2.993,-150.8821782
2.994,-150.8857064
2.995,-150.8926815
2.996,-150.8835247
2.997,-150.8839634
2.998,-150.8490404
2.999,-150.8412011
3,-150.8411853
3.001,-150.8441972
3.002,-150.8621764
3.003,-150.8796356
3.004,-150.8844498
3.005,-150.8919015
3.006,-150.8606974
3.007,-150.8524665
3.008,-150.8258948
3.009,-150.8038759
3.01,-150.7816925
3.011,-150.7802333
3.012,-150.7691693
3.013,-150.7655883
3.014,-150.7644755
3.015,-150.766495
3.016,-150.7625624
3.017,-150.7822275
3.018,-150.7880158
3.019,-150.8057627
3.02,-150.7994765
3.021,-150.7868878
3.022,-150.8069615
3.023,-150.8094503
3.024,-150.7938368
3.025,-150.8014273
3.026,-150.8094486
3.027,-150.8184419
3.028,-150.8351717
3.029,-150.8090715
3.03,-150.7991633
3.031,-150.8054093
3.032,-150.8067574
3.033,-150.7826484
3.034,-150.7927465
3.035,-150.7909193
3.036,-150.7948751
3.037,-150.8110334
3.038,-150.8085154
3.039,-150.7958637
3.04,-150.7818378
3.041,-150.7607497
3.042,-150.7399928
3.043,-150.6987892
3.044,-150.6907044
3.045,-150.6774508
3.046,-150.6671475
3.047,-150.6360499
3.048,-150.6229684
3.049,-150.6022136
3.05,-150.5992885
3.051,-150.55148
3.052,-150.5269659
3.053,-150.4923726
3.054,-150.4586496
3.055,-150.417149
3.056,-150.4106097
3.057,-150.4111567
3.058,-150.3839124
3.059,-150.3770746
3.06,-150.3963178
3.061,-150.3862681
3.062,-150.3424421
3.063,-150.3288764
3.064,-150.3412672
3.065,-150.3307523
3.066,-150.3368703
3.067,-150.3244268
3.068,-150.306858
3.069,-150.3029193
3.07,-150.2975315
3.071,-150.2706795
3.072,-150.2636882
3.073,-150.2690571
3.074,-150.2533061
3.075,-150.2554585
3.076,-150.2493873
3.077,-150.2260094
3.078,-150.2591009
3.079,-150.2716227
3.08,-150.2816298
3.081,-150.2683882
3.082,-150.2519151
3.083,-150.259464
3.084,-150.2306726
3.085,-150.2108185
3.086,-150.2037203
3.087,-150.1835666
3.088,-150.1668262
3.089,-150.146062
3.09,-150.1413698
3.091,-150.1484665
3.092,-150.1579374
3.093,-150.1613341
3.094,-150.1709158
3.095,-150.2059725
3.096,-150.1744
3.097,-150.1588112
3.098,-150.1479236
3.099,-150.1250293
3.1,-150.0887743
3.101,-150.0935916
3.102,-150.1142497
3.103,-150.1174138
3.104,-150.1244267
3.105,-150.1224588
3.106,-150.0993762
3.107,-150.1184832
3.108,-150.0920934
3.109,-150.0859661
3.11,-150.0866143
3.111,-150.0951746
3.112,-150.0900055
3.113,-150.0798283
3.114,-150.0832037
3.115,-150.0792538
3.116,-150.066118
3.117,-150.0679875
3.118,-150.0451823
3.119,-150.0281765
3.12,-150.0284483
3.121,-150.0597482
3.122,-150.0628741
3.123,-150.0671007
3.124,-150.0801504
3.125,-150.0940275
3.126,-150.0799898
3.127,-150.1024816
3.128,-150.0836319
3.129,-150.0890287
3.13,-150.0902468
3.131,-150.0993843
3.132,-150.12138
3.133,-150.1438245
3.134,-150.1756488
3.135,-150.1815063
3.136,-150.1932223
3.137,-150.1853671
3.138,-150.1881147
3.139,-150.1883032
3.14,-150.2041795
3.141,-150.2044078
3.142,-150.1951701
3.143,-150.1984494
3.144,-150.205677
3.145,-150.2318905
3.146,-150.2448318
3.147,-150.2473718
3.148,-150.264015
3.149,-150.302697
3.15,-150.3249965
3.151,-150.3234026
3.152,-150.3382491
3.153,-150.3483132
3.154,-150.3662722
3.155,-150.3673248
3.156,-150.4376788
3.157,-150.4937713
3.158,-150.535645
3.159,-150.5874198
3.16,-150.6241773
3.161,-150.5888492
3.162,-150.5922239
3.163,-150.5871659
3.164,-150.5739236
3.165,-150.5428053
3.166,-150.5685995
3.167,-150.5652707
3.168,-150.5844384
3.169,-150.5845416
3.17,-150.5761885
3.171,-150.5398726
3.172,-150.5095084
3.173,-150.4663392
3.174,-150.4103455
3.175,-150.3700108
3.176,-150.3624597
3.177,-150.3692953
3.178,-150.3810902
3.179,-150.3863231
3.18,-150.376203
3.181,-150.3837873
3.182,-150.3966893
3.183,-150.4044913
3.184,-150.4312328
3.185,-150.4190858
3.186,-150.4429349
3.187,-150.436416
3.188,-150.4511608
3.189,-150.4376062
3.19,-150.4543955
3.191,-150.4908485
3.192,-150.5245074
3.193,-150.5534104
3.194,-150.5826121
3.195,-150.6080913
3.196,-150.5936236
3.197,-150.6117474
3.198,-150.6109779
3.199,-150.618002
3.2,-150.6322725
3.201,-150.7060357
3.202,-150.7554709
3.203,-150.8074199
3.204,-150.8636393
3.205,-150.9280845
3.206,-150.962036
3.207,-150.9786154
3.208,-151.0050074
3.209,-151.0247396
3.21,-151.044621
3.211,-151.0761328
3.212,-151.1222538
3.213,-151.1445963
3.214,-151.1898323
3.215,-151.2409648
3.216,-151.2772775
3.217,-151.2741742
3.218,-151.2876721
3.219,-151.3003748
3.22,-151.319787
3.221,-151.3463028
3.222,-151.3755705
3.223,-151.39942
3.224,-151.3965848
3.225,-151.4385368
3.226,-151.405667
3.227,-151.4187235
3.228,-151.407753
3.229,-151.4068935
3.23,-151.4033315
3.231,-151.3979663
3.232,-151.3695334
3.233,-151.3396599
3.234,-151.331023
3.235,-151.3017613
3.236,-151.2876607
3.237,-151.2434859
3.238,-151.2507984
3.239,-151.2284738
3.24,-151.2120095
3.241,-151.1667839
3.242,-151.1343186
3.243,-151.0868795
3.244,-151.0642604
3.245,-151.0192538
3.246,-150.9682023
3.247,-150.9317936
3.248,-150.8966464
3.249,-150.8726237
3.25,-150.8679528
3.251,-150.8259594
3.252,-150.7770918
3.253,-150.7525997
3.254,-150.7246276
3.255,-150.6618518
3.256,-150.6278054
3.257,-150.6044506
3.258,-150.5883037
3.259,-150.5739264
3.26,-150.5660933
3.261,-150.5190722
3.262,-150.5001349
3.263,-150.4654989
3.264,-150.4331953
3.265,-150.3826335
3.266,-150.374064
3.267,-150.3629739
3.268,-150.3581849
3.269,-150.3652726
3.27,-150.337305
3.271,-150.2936803
3.272,-150.2712241
3.273,-150.2527644
3.274,-150.229198
3.275,-150.2225175
3.276,-150.2144473
3.277,-150.2266308
3.278,-150.2099365
3.279,-150.2036365
3.28,-150.169373
3.281,-150.1744249
3.282,-150.1868987
3.283,-150.2044073
3.284,-150.2179859
3.285,-150.2320103
3.286,-150.2385398
3.287,-150.2537598
3.288,-150.25325
3.289,-150.2553055
3.29,-150.2473788
3.291,-150.2958088
3.292,-150.332393
3.293,-150.366881
3.294,-150.3960768
3.295,-150.4195378
3.296,-150.4212723
3.297,-150.4311608
3.298,-150.4149925
3.299,-150.4241003
3.3,-150.395156
3.301,-150.4274081
3.302,-150.4287011
3.303,-150.4394484
3.304,-150.4552205
3.305,-150.5122603
3.306,-150.4987778
3.307,-150.4907624
3.308,-150.4797019
3.309,-150.4521102
3.31,-150.4590208
3.311,-150.4946801
3.312,-150.5167681
3.313,-150.5371042
3.314,-150.5501857
3.315,-150.5681853
3.316,-150.5859523
3.317,-150.6033564
3.318,-150.6367082
3.319,-150.6512542
3.32,-150.6962593
3.321,-150.7313396
3.322,-150.773415
3.323,-150.7811623
3.324,-150.7873464
3.325,-150.8272863
3.326,-150.8427641
3.327,-150.8811756
3.328,-150.8958794
3.329,-150.9005012
3.33,-150.927294
3.331,-150.9284074
3.332,-150.9430521
3.333,-150.9531287
3.334,-150.9750141
3.335,-150.999817
3.336,-151.0390257
3.337,-151.0485717
3.338,-151.0725634
3.339,-151.0778691
3.34,-151.099922
3.341,-151.1170985
3.342,-151.1197094
3.343,-151.1405636
3.344,-151.1425713
3.345,-151.1239455
3.346,-151.1583051
3.347,-151.1915509
3.348,-151.2280667
3.349,-151.2699247
3.35,-151.2948128
3.351,-151.2833475
3.352,-151.2853078
3.353,-151.2902185
3.354,-151.2933463
3.355,-151.281027
3.356,-151.323105
3.357,-151.3403093
3.358,-151.331004
3.359,-151.3538808
3.36,-151.3624668
3.361,-151.3578448
3.362,-151.3157315
3.363,-151.3058143
3.364,-151.297968
3.365,-151.2864785
3.366,-151.2924444
3.367,-151.2694811
3.368,-151.273655
3.369,-151.2875311
3.37,-151.2886995
3.371,-151.3007032
3.372,-151.2977558
3.373,-151.2718862
3.374,-151.2684004
3.375,-151.268899
3.376,-151.2557265
3.377,-151.2572452
3.378,-151.2701931
3.379,-151.2882743
3.38,-151.3024188
3.381,-151.3087831
3.382,-151.3314594
3.383,-151.3350079
3.384,-151.3748985
3.385,-151.3768388
3.386,-151.3776843
3.387,-151.3677776
3.388,-151.3756517
3.389,-151.3631417
3.39,-151.3743175
3.391,-151.405121
3.392,-151.4173777
3.393,-151.4245354
3.394,-151.4186756
3.395,-151.4363993
3.396,-151.3929474
3.397,-151.3577418
3.398,-151.3410445
3.399,-151.3240264
3.4,-151.2885948
3.401,-151.2670959
3.402,-151.2630603
3.403,-151.2643202
3.404,-151.2703326
3.405,-151.2459283
3.406,-151.2271625
3.407,-151.1824369
3.408,-151.1463506
3.409,-151.0943026
3.41,-151.0529293
3.411,-151.0116382
3.412,-150.9775784
3.413,-150.9675311
3.414,-150.9405346
3.415,-150.918776
3.416,-150.9002104
3.417,-150.8816195
3.418,-150.8458678
3.419,-150.8070169
3.42,-150.769688
3.421,-150.7417835
3.422,-150.6950427
3.423,-150.6534959
3.424,-150.6239128
3.425,-150.6089635
3.426,-150.6008565
3.427,-150.5995033
3.428,-150.6043015
3.429,-150.600527
3.43,-150.5899965
3.431,-150.553046
3.432,-150.5261867
3.433,-150.5035379
3.434,-150.4909543
3.435,-150.463019
3.436,-150.4804296
3.437,-150.4646717
3.438,-150.4647858
3.439,-150.4735827
3.44,-150.4987328
3.441,-150.4943332
3.442,-150.4884341
3.443,-150.4981777
3.444,-150.4884181
3.445,-150.4986565
3.446,-150.5019807
3.447,-150.5312534
3.448,-150.5400901
3.449,-150.5571698
3.45,-150.5791275
3.451,-150.5733276
3.452,-150.5569255
3.453,-150.5585428
3.454,-150.5489199
3.455,-150.5341938
3.456,-150.5289225
3.457,-150.5404258
3.458,-150.5571495
3.459,-150.5814885
3.46,-150.60576
3.461,-150.6079873
3.462,-150.6239526
3.463,-150.6291097
3.464,-150.624866
3.465,-150.6352335
3.466,-150.6477652
3.467,-150.6783181
3.468,-150.6618667
3.469,-150.6637409
3.47,-150.6571715
3.471,-150.6722944
3.472,-150.6884003
3.473,-150.680593
3.474,-150.6793434
3.475,-150.7061403
3.476,-150.7010129
3.477,-150.7373082
3.478,-150.7427868
3.479,-150.7471869
3.48,-150.7404433
3.481,-150.7431583
3.482,-150.7750228
3.483,-150.7761418
3.484,-150.7976568
3.485,-150.811467
3.486,-150.8167341
3.487,-150.8201819
3.488,-150.8387942
3.489,-150.8368265
3.49,-150.8290118
3.491,-150.8577002
3.492,-150.8609727
3.493,-150.8639994
3.494,-150.8711553
3.495,-150.8822075
3.496,-150.8900038
3.497,-150.8908778
3.498,-150.8937188
3.499,-150.8954715
3.5,-150.877574
3.501,-150.891789
3.502,-150.882404
3.503,-150.8924478
3.504,-150.9007865
3.505,-150.9063663
3.506,-150.9016806
3.507,-150.9047261
3.508,-150.9158659
3.509,-150.921614
3.51,-150.9370655
3.511,-150.9458945
3.512,-150.9533907
3.513,-150.9624851
3.514,-150.9774798
3.515,-150.966608
3.516,-150.9716877
3.517,-150.9710379
3.518,-150.9665959
3.519,-150.9611416
3.52,-150.9522025
3.521,-150.9527269
3.522,-150.9636847
3.523,-150.9377316
3.524,-150.9026024
3.525,-150.9019198
3.526,-150.8927424
3.527,-150.8852277
3.528,-150.8846531
3.529,-150.8751942
3.53,-150.876887
3.531,-150.8433562
3.532,-150.8223699
3.533,-150.7881299
3.534,-150.7650488
3.535,-150.722209
3.536,-150.7225484
3.537,-150.7056471
3.538,-150.706651
3.539,-150.6798036
3.54,-150.6757055
3.541,-150.6599293
3.542,-150.6263353
3.543,-150.591555
3.544,-150.5537983
3.545,-150.5260755
3.546,-150.5229806
3.547,-150.5153224
3.548,-150.5264909
3.549,-150.5247572
3.55,-150.5165955
3.551,-150.4969195
3.552,-150.4732985
3.553,-150.4681278
3.554,-150.451972
3.555,-150.432685
3.556,-150.4189625
3.557,-150.4089154
3.558,-150.4019514
3.559,-150.4000216
3.56,-150.4021593
3.561,-150.3992879
3.562,-150.3852543
3.563,-150.404334
3.564,-150.4270806
3.565,-150.3944205
3.566,-150.3812863
3.567,-150.3598374
3.568,-150.3313009
3.569,-150.3133777
3.57,-150.3022075
3.571,-150.3030733
3.572,-150.3310571
3.573,-150.3518627
3.574,-150.356737
3.575,-150.3965098
3.576,-150.3987252
3.577,-150.3861943
3.578,-150.3608702
3.579,-150.3589086
3.58,-150.3742553
3.581,-150.3685755
3.582,-150.3888167
3.583,-150.4140586
3.584,-150.4242183
3.585,-150.414726
3.586,-150.4041523
3.587,-150.3818363
3.588,-150.3473425
3.589,-150.3363223
3.59,-150.3197185
3.591,-150.3245809
3.592,-150.3032651
3.593,-150.2994232
3.594,-150.3144246
3.595,-150.3241318
3.596,-150.3116691
3.597,-150.3093067
3.598,-150.3254368
3.599,-150.3315694
3.6,-150.3171008
3.601,-150.3190747
3.602,-150.3026841
3.603,-150.2827802
3.604,-150.2633621
3.605,-150.2732765
3.606,-150.2884716
3.607,-150.2858876
3.608,-150.2885104
3.609,-150.3038887
3.61,-150.310128
3.611,-150.3125224
3.612,-150.2997073
3.613,-150.2803602
3.614,-150.2900461
3.615,-150.2870718
3.616,-150.3017816
3.617,-150.3189795
3.618,-150.3261748
3.619,-150.3241082
3.62,-150.3149968
3.621,-150.3070461
3.622,-150.2928836
3.623,-150.2776874
3.624,-150.2649407
3.625,-150.2709088
3.626,-150.2644827
3.627,-150.2613912
3.628,-150.2642336
3.629,-150.2629313
3.63,-150.2870663
3.631,-150.2750329
3.632,-150.2713512
3.633,-150.2598268
3.634,-150.2315034
3.635,-150.2133033
3.636,-150.2194426
3.637,-150.2371457
3.638,-150.2221923
3.639,-150.2325514
3.64,-150.23884
3.641,-150.2240844
3.642,-150.2389611
3.643,-150.2362732
3.644,-150.2305809
3.645,-150.2253955
3.646,-150.226206
3.647,-150.2459323
3.648,-150.2687303
3.649,-150.240488
3.65,-150.253606
3.651,-150.2645609
3.652,-150.2717258
3.653,-150.2994302
3.654,-150.2897374
3.655,-150.2769343
3.656,-150.2796707
3.657,-150.3003931
3.658,-150.3272912
3.659,-150.3508794
3.66,-150.354928
3.661,-150.3676803
3.662,-150.378565
3.663,-150.407981
3.664,-150.4092125
3.665,-150.434024
3.666,-150.4402545
3.667,-150.4427138
3.668,-150.4580258
3.669,-150.4548775
3.67,-150.4252968
3.671,-150.4219153
3.672,-150.429906
3.673,-150.4254505
3.674,-150.427551
3.675,-150.452011
3.676,-150.4391533
3.677,-150.4193421
3.678,-150.4159824
3.679,-150.3952677
3.68,-150.3773865
3.681,-150.3769121
3.682,-150.3693784
3.683,-150.3676024
3.684,-150.379202
3.685,-150.3662315
3.686,-150.3484115
3.687,-150.3234945
3.688,-150.2880388
3.689,-150.3091105
3.69,-150.2886515
3.691,-150.3017658
3.692,-150.3373471
3.693,-150.3332554
3.694,-150.3422087
3.695,-150.3441173
3.696,-150.3088513
3.697,-150.2824211
3.698,-150.2387064
3.699,-150.20649
3.7,-150.204477
3.701,-150.1908008
3.702,-150.1838954
3.703,-150.1495617
3.704,-150.1429542
3.705,-150.1322365
3.706,-150.1187823
3.707,-150.1162419
3.708,-150.1171052
3.709,-150.1281182
3.71,-150.1244113
3.711,-150.1130469
3.712,-150.0884198
3.713,-150.0812167
3.714,-150.0646369
3.715,-150.0495783
3.716,-150.0453073
3.717,-150.0472431
3.718,-150.0639854
3.719,-150.0976867
3.72,-150.1101205
3.721,-150.0792833
3.722,-150.0425089
3.723,-150.0304839
3.724,-150.000318
3.725,-149.98578
3.726,-149.9912233
3.727,-150.00488
3.728,-150.0167358
3.729,-150.0308313
3.73,-150.044114
3.731,-150.0124256
3.732,-149.9663247
3.733,-149.9452653
3.734,-149.9304584
3.735,-149.9168313
3.736,-149.9248505
3.737,-149.9219257
3.738,-149.9450996
3.739,-149.9374368
3.74,-149.9307668
3.741,-149.9355993
3.742,-149.9143083
3.743,-149.9159333
3.744,-149.911211
3.745,-149.9133595
3.746,-149.9289981
3.747,-149.9200567
3.748,-149.9326393
3.749,-149.9344727
3.75,-149.9445115
3.751,-149.9483767
3.752,-149.9624292
3.753,-149.9725364
3.754,-149.9725913
3.755,-149.9619508
3.756,-149.9537269
3.757,-149.9454388
3.758,-149.920942
3.759,-149.9004864
3.76,-149.8786738
3.761,-149.8995695
3.762,-149.9241345
3.763,-149.9210485
3.764,-149.9475718
3.765,-149.976068
3.766,-149.9625358
3.767,-149.9318191
3.768,-149.9315527
3.769,-149.9079647
3.77,-149.893997
3.771,-149.919777
3.772,-149.9471242
3.773,-149.9470034
3.774,-149.9615061
3.775,-150.0002045
3.776,-150.0184692
3.777,-150.0377856
3.778,-150.042808
3.779,-150.0660316
3.78,-150.0679945
3.781,-150.0718891
3.782,-150.0974851
3.783,-150.1145917
3.784,-150.142603
3.785,-150.1405363
3.786,-150.1584095
3.787,-150.1629623
3.788,-150.1733048
3.789,-150.1626355
3.79,-150.1879638
3.791,-150.1917955
3.792,-150.1719687
3.793,-150.1895526
3.794,-150.1971488
3.795,-150.2139293
3.796,-150.2247512
3.797,-150.2131933
3.798,-150.2349102
3.799,-150.2392964
3.8,-150.239867
3.801,-150.2197318
3.802,-150.1992799
3.803,-150.1748672
3.804,-150.1399902
3.805,-150.1141925
3.806,-150.1207226
3.807,-150.130306
3.808,-150.1266506
3.809,-150.1386049
3.81,-150.1033028
3.811,-150.0821037
3.812,-150.0487979
3.813,-150.0157309
3.814,-149.9847021
3.815,-149.9538748
3.816,-149.9316057
3.817,-149.9550531
3.818,-149.9410402
3.819,-149.9143534
3.82,-149.9038678
3.821,-149.9028869
3.822,-149.8582667
3.823,-149.8290466
3.824,-149.8034404
3.825,-149.7820805
3.826,-149.7828467
3.827,-149.7874611
3.828,-149.775102
3.829,-149.7871591
3.83,-149.7764285
3.831,-149.7790264
3.832,-149.8021426
3.833,-149.7928362
3.834,-149.7918814
3.835,-149.7979433
3.836,-149.8150626
3.837,-149.8288059
3.838,-149.8341024
3.839,-149.8499137
3.84,-149.8545085
3.841,-149.8725433
3.842,-149.8981649
3.843,-149.9094212
3.844,-149.9190377
3.845,-149.9280533
3.846,-149.9164878
3.847,-149.9277191
3.848,-149.9303834
3.849,-149.9190312
3.85,-149.9431815
3.851,-149.9670826
3.852,-149.9927936
3.853,-150.0192414
3.854,-150.052302
3.855,-150.073274
3.856,-150.0733198
3.857,-150.0524648
3.858,-150.0697418
3.859,-150.0820383
3.86,-150.1053748
3.861,-150.1277017
3.862,-150.1705662
3.863,-150.2028969
3.864,-150.2442726
3.865,-150.2756548
3.866,-150.2678983
3.867,-150.2785516
3.868,-150.2999384
3.869,-150.2996827
3.87,-150.3023185
3.871,-150.3064296
3.872,-150.3253072
3.873,-150.3482538
3.874,-150.3768104
3.875,-150.3906578
3.876,-150.3778024
3.877,-150.3785335
3.878,-150.3730893
3.879,-150.3715927
3.88,-150.3722543
3.881,-150.3739263
3.882,-150.3769408
3.883,-150.392467
3.884,-150.4077703
3.885,-150.4320248
3.886,-150.4482705
3.887,-150.4668097
3.888,-150.4824751
3.889,-150.4973991
3.89,-150.5151475
3.891,-150.502592
3.892,-150.5156205
3.893,-150.5320443
3.894,-150.5477198
3.895,-150.5491413
3.896,-150.5621279
3.897,-150.5737978
3.898,-150.5771292
3.899,-150.5937941
3.9,-150.616659
3.901,-150.6265621
3.902,-150.6467537
3.903,-150.6611708
3.904,-150.6808949
3.905,-150.6775665
3.906,-150.6920335
3.907,-150.7041372
3.908,-150.7108384
3.909,-150.7135718
3.91,-150.7364035
3.911,-150.757236
3.912,-150.7415449
3.913,-150.7414174
3.914,-150.7398386
3.915,-150.7188628
3.916,-150.7542224
3.917,-150.7801033
3.918,-150.8158885
3.919,-150.8402189
3.92,-150.8819555
3.921,-150.8677605
3.922,-150.8533892
3.923,-150.8447781
3.924,-150.8289493
3.925,-150.818705
3.926,-150.8372423
3.927,-150.8489481
3.928,-150.8673582
3.929,-150.8644317
3.93,-150.8924308
3.931,-150.8924579
3.932,-150.8993941
3.933,-150.8762255
3.934,-150.8658099
3.935,-150.8546195
3.936,-150.8706237
3.937,-150.8680246
3.938,-150.886347
3.939,-150.8796801
3.94,-150.861667
3.941,-150.8606949
3.942,-150.8374463
3.943,-150.8397757
3.944,-150.7968801
3.945,-150.789286
3.946,-150.7886743
3.947,-150.7629643
3.948,-150.7574578
3.949,-150.754678
3.95,-150.7386555
3.951,-150.7446093
3.952,-150.7863416
3.953,-150.7867064
3.954,-150.8102695
3.955,-150.8428338
3.956,-150.8622253
3.957,-150.8960691
3.958,-150.8964384
3.959,-150.9174525
3.96,-150.921421
3.961,-150.9580051
3.962,-151.0039914
3.963,-151.0275372
3.964,-151.0937935
3.965,-151.132031
3.966,-151.1384077
3.967,-151.1432902
3.968,-151.1398039
3.969,-151.1610061
3.97,-151.13847
3.971,-151.1860154
3.972,-151.231606
3.973,-151.2845368
3.974,-151.3159869
3.975,-151.3647625
3.976,-151.3433761
3.977,-151.3512876
3.978,-151.3441644
3.979,-151.3517187
3.98,-151.3441298
3.981,-151.3153244
